Estado,Ciudad,Establecimiento,04-ene,06-ene,08-ene,11-ene,13-ene,15-ene,18-ene,20-ene,22-ene,25-ene,27-ene,29-ene,03-feb,05-feb,08-feb,10-feb,12-feb,15-feb,17-feb,19-feb,22-feb,24-feb,26-feb,01-mar,03-mar,05-mar,08-mar,10-mar,12-mar,17-mar,19-mar,22-mar,24-mar,26-mar,29-mar,31-mar,05-abr,07-abr,09-abr,12-abr,14-abr,16-abr,19-abr,21-abr,23-abr,26-abr,28-abr,30-abr,03-may,05-may,07-may,10-may,12-may,14-may,17-may,19-may,21-may,24-may,26-may,28-may,31-may,02-jun,04-jun,07-jun,09-jun,11-jun,14-jun,16-jun,18-jun,21-jun,23-jun,25-jun,28-jun,30-jun,02-jul,05-jul,07-jul,09-jul,12-jul,14-jul,16-jul,19-jul,21-jul,23-jul,26-jul,28-jul,30-jul,02-ago,04-ago,06-ago,09-ago,11-ago,13-ago,16-ago,18-ago,20-ago,23-ago,25-ago,27-ago,30-ago,31-ago,01-sep,03-sep,06-sep,08-sep,10-sep,13-sep,15-sep,17-sep
Aguascalientes ,Aguascalientes ,Autoservicio,11.3,11.3,11.3,11.1,11.1,11.1,10.5,10.5,10.5,11.03,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,10.5,10.5,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.03,11.03,11.03,11.03,11.03,11.1,11.1,11.1,11.1,11.1,,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
Baja California,Mexicali,Autoservicio,,,,,,,11.7,11.63,11.63,11.63,11.63,11.63,11.63,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,12.37,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,,12.7,12.7,12.7,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63
Baja California,Tijuana,Autoservicio,,,,,,,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,12.2,12.2,11.53,11.53,12.2,12.2,11.87,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.5,12.3,12.3,12.3,12.3,12.3,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.6,12.63,12.63,12.63,12.63,12.63,,12.63,12.63,12.63,12.6,12.63,12.63,12.63,12.63
Baja California Sur,La Paz,Autoservicio,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.57,11.57,11.57,11.57,12.5,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.57,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.83,11.83,11.83,11.83,11.83,11.83,11.83,,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83
Campeche,Campeche,Autoservicio,11.43,11.43,11.43,11.43,11.43,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.67,11.67,11.67,11.7,11.7,12.13,12.13,12.13,12.13,11.7,11.7,11.7,11.7,11.7,11.7,11.97,11.97,,11.7,11.97,11.97,11.7,11.7,11.7,11.7,10.97,10.97,10.97,10.97,10.97,10.97,10.23,10.23,10.17,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23
Coahuila,Piedras Negras,Autoservicio,13.3,13.3,13.63,13.63,13.63,13.63,13.63,,,,,,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,14,14,14.3,14,14,15.5,14,14,14,14,14,14,14,14,13.63,13.62,14,14,,14,14,14,14,14,14,14,14
Coahuila,Saltillo,Autoservicio,16,16,16,16,16,16,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,17,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,13,13,13,13,13,13,13,13
Coahuila,Torreón,Autoservicio,11.97,11.97,11.97,11.97,11.97,11.97,11.97,,,,,,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,,11.97,11.97,11.97,11.97,11.97,11.97,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,,12.9,12.9,12.9,12.9,12.9,12.9,12.77,13.3
Colima,Colima,Autoservicio,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,,,,,,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.5,11.83,11.83,11.5,11.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12,,12,12,12,12,12,12,12,12
Chiapas,Tapachula,Autoservicio,10.63,10.53,10.63,10.63,10.63,10.63,10.63,10.63,10.57,10.63,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.7,10.7,10.63,10.63,10.9,10.9,10.87,10.87,10.9,10.9,10.9,10.9,10.9,10.9,10.9,11.07,11.07,10.97,10.97,,10.97,11.07,10.97,11.23,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,11.07,11.1,11.07,11.53,11.47,11.47,11.47,11.07,11.07,10.9,10.93,10.93,11.07,11.1,11.1,11.1,11.07,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.33,11.23,11.23,,11.23,11.23,11.23,11.23,11.23,11.7,11.7,11.6
