Estado,Ciudad,Establecimiento,04-ene,06-ene,08-ene,11-ene,13-ene,15-ene,18-ene,20-ene,22-ene,25-ene,27-ene,29-ene,03-feb,05-feb,08-feb,10-feb,12-feb,15-feb,17-feb,19-feb,22-feb,24-feb,26-feb,01-mar,03-mar,05-mar,08-mar,10-mar,12-mar,17-mar,19-mar,22-mar,24-mar,26-mar,29-mar,31-mar,05-abr,07-abr,09-abr,12-abr,14-abr,16-abr,19-abr,21-abr,23-abr,26-abr,28-abr,30-abr,03-may,05-may,07-may,10-may,12-may,14-may,17-may,19-may,21-may,24-may,26-may,28-may,31-may,02-jun,04-jun,07-jun,09-jun,11-jun,14-jun,16-jun,18-jun,21-jun,23-jun,25-jun,28-jun,30-jun,02-jul,05-jul,07-jul,09-jul,12-jul,14-jul,16-jul,19-jul,21-jul,23-jul,26-jul,28-jul,30-jul,02-ago,04-ago,06-ago,09-ago,11-ago,13-ago,16-ago,18-ago,20-ago,23-ago,25-ago,27-ago,30-ago,31-ago,01-sep,03-sep,06-sep,08-sep,10-sep,13-sep,15-sep,17-sep
Aguascalientes ,Aguascalientes ,Tortillería,14.33,14.33,14.33,14.33,14.33,14.33,14.17,14.17,14.17,14.17,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.17,14.17,14.33,14.33,14.17,14.17,14.17,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,,14.33,14.33,14.5,14.5,14.5,14.5,14.5,14.5,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.67,14.67,14.33,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,15,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.33,15.33,15.33,15.33,15.33,15.33,15.33,,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67
Baja California,Mexicali,Tortillería,,,,,,,20.57,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.33,21.33,22.67,22.67,22.67,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.86,23.43,23.43,23.43,23.43,23.43,23.43,23.43,23.43,23.43,23.43,23.43,23.43,23.43,,23.43,23.43,23.43,23.43,23.43,23.43,23.43,23.43
Baja California,Tijuana,Tortillería,,,,,,,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82,18.55,18.45,18.45,18.36,18.36,18.45,18.36,18.45,18.36,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.36,19.36,19.36,,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.55,19.55,19.55,19.55,19.55,19.55,19.55,19.36,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.36,20.36,20.36,22,22,22,22,22,22,22,22,22,22,22,22,22,,22,22,22,22,22,22,22,22
Baja California Sur,La Paz,Tortillería,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.75,20.75,20.75,20.75,20,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.5,20.5,20.5,20.5,20.5,,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,22,22,22,22,22,22,22,22
Campeche,Campeche,Tortillería,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,20,20,20,20,20,20,20,20
Coahuila,Piedras Negras,Tortillería,19,19,19,19,19,19,19,,,,,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,19,19,19,19,19,19,19,19
Coahuila,Saltillo,Tortillería,16.6,16.6,16.6,16.4,16.4,16.6,,,,,,,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.4,19.4,19.4,19.6,19.4,19.4,19.4,19.6,19.6,19.6,19.6,19.6,19.6,,19.6,19.6,19.6,19.4,19.4,19.4,19.4,19.4
Coahuila,Torreón,Tortillería,16.4,16.4,16.4,16.4,16.4,16.4,16.4,,,,,,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,17.8,18,17.8,17.8,,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.75,17.6,17.6,17.8,17.8,17.8,17.8,17.8,17.8,17.93,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
Colima,Colima,Tortillería,17.5,17.5,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,,,,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,19,19,19,19,19,19,19,19
Chiapas,Tapachula,Tortillería,15.17,15.17,15.17,15.17,15.17,15.17,15.25,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.83,16.5,16.5,16.5,17,17,17,17,17,17,17,17,17.17,17.17,17.17,17.17,17.17,17.1,17.1,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,18.17,18.17,18.5,18.5,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,19.17,19.17,19.17,19.17,,19.17,19.33,19.17,19.17,19.17,19,19,19
